CountryCode,DisplayName,region,Level,ProjYear,EPL,LPL,UPL,p20,p80
BDI,Burundi,SSA,National,2021,0.7959759,0.9276821,0.9802668,0.9124118,
BEL,Belgium,OHI,National,1981,0.002401878,0.00496752,0.007478574,0.002401878,0.08482996
BEL,Belgium,OHI,National,1984,0.002401878,0.00496752,0.007478574,0.002401878,0.0722201
BEL,Belgium,OHI,National,1987,0.003986019,0.006557778,0.007394796,0.003986019,0.06574097
BEL,Belgium,OHI,National,1990,0.007305464,0.008592873,0.009644998,0.007305464,0.04772787
BEL,Belgium,OHI,National,1993,0.007929926,0.00898589,0.0111406,0.007929926,0.0294351
BEL,Belgium,OHI,National,1996,0.004524447,0.006108393,0.008359471,0.004524447,0.02712323
BEL,Belgium,OHI,National,1999,0.003678305,0.006049862,0.006798699,0.002836328,0.02111736
BEL,Belgium,OHI,National,2002,0.002981149,0.005210774,0.006927657,0.002587972,0.0283431
BEL,Belgium,OHI,National,2005,0.001930702,0.003279285,0.004726353,0.001930702,0.03144625
BEL,Belgium,OHI,National,2008,0.001184167,0.001407375,0.002836196,0.001184167,0.04772873
BEL,Belgium,OHI,National,2010,0.001371153,0.001989567,0.004396007,0.001421017,0.05764521
BEL,Belgium,OHI,National,2011,0.001682682,0.002898488,0.004689303,0.001840943,0.0633506
BEL,Belgium,OHI,National,2012,0.001565715,0.002313017,0.004217157,0.001720728,0.06280217
BEL,Belgium,OHI,National,2013,0.001445081,0.002217943,0.004069399,0.001715929,0.06608272
BEL,Belgium,OHI,National,2015,0.0007075855,0.001951641,0.002174509,0.001812584,0.07040446
BEL,Belgium,OHI,National,2018,0.000811136,0.0008975118,0.001557892,0.0008975118,
BEL,Belgium,OHI,National,2019,0.000811136,0.0008975118,0.001557892,0.0008975118,
BEL,Belgium,OHI,National,2020,0.000811136,0.001015177,0.001754748,0.0008975118,
BEL,Belgium,OHI,National,2021,0.000811136,0.0008975118,0.001626816,0.0008975118,
BEN,Benin,SSA,National,1981,0.5940922,0.8451827,0.9528551,0.210889,0.9947945
BEN,Benin,SSA,National,1984,0.6174843,0.8549237,0.9554599,0.3293528,0.9947945
BEN,Benin,SSA,National,1987,0.6217452,0.8571486,0.9570236,0.3956774,0.9950166
BEN,Benin,SSA,National,1990,0.6220381,0.85753,0.9570236,0.3931483,0.9947945
BEN,Benin,SSA,National,1993,0.608701,0.8512914,0.953913,0.3993768,0.9933254
BEN,Benin,SSA,National,1996,0.5915445,0.8425152,0.9521491,0.4505545,0.993125
BEN,Benin,SSA,National,1999,0.5598683,0.819091,0.9464763,0.4227176,0.9921431
BEN,Benin,SSA,National,2002,0.5179036,0.799625,0.9381026,0.4272363,0.9921817
BEN,Benin,SSA,National,2005,0.5291002,0.7962604,0.932063,0.5162319,0.9930777
BEN,Benin,SSA,National,2008,0.5076166,0.7697338,0.9104914,0.536298,0.9931916
BEN,Benin,SSA,National,2010,0.5265044,0.7711435,0.9065691,0.5937263,0.9943478
BEN,Benin,SSA,National,2011,0.5336967,0.7707787,0.903724,0.6316789,0.9945933
BEN,Benin,SSA,National,2012,0.5253129,0.7668997,0.9018659,0.6425146,0.9944235
BEN,Benin,SSA,National,2013,0.5154137,0.7652057,0.9031833,0.6601117,0.9938707
BEN,Benin,SSA,National,2015,0.4960589,0.7624753,0.9061193,0.6734589,0.9929164
BEN,Benin,SSA,National,2018,0.4569239,0.725113,0.8992682,0.6760856,
BEN,Benin,SSA,National,2019,0.4338163,0.7052917,0.8953755,0.6630714,
BEN,Benin,SSA,National,2020,0.4248164,0.6977807,0.8934191,0.6516695,
BEN,Benin,SSA,National,2021,0.4015659,0.6801061,0.8883194,0.6438392,
BFA,Burkina Faso,SSA,National,1981,0.8571357,0.9405934,0.9793425,0.6731221,0.9975543
BFA,Burkina Faso,SSA,National,1984,0.8566424,0.9405498,0.978939,0.735648,0.9975004
BFA,Burkina Faso,SSA,National,1987,0.8406291,0.9317808,0.9729447,0.740921,0.9972236
BFA,Burkina Faso,SSA,National,1990,0.8423685,0.9321651,0.9735776,0.7405046,0.9966693
BFA,Burkina Faso,SSA,National,1993,0.8303962,0.9279807,0.9714754,0.738867,0.9951564
BFA,Burkina Faso,SSA,National,1996,0.8218226,0.9199541,0.9669082,0.7571762,0.9933235
BFA,Burkina Faso,SSA,National,1999,0.7628464,0.8897267,0.9552825,0.6671585,0.9888267
BFA,Burkina Faso,SSA,National,2002,0.6579288,0.8457912,0.9474361,0.5864645,0.9929041
BFA,Burkina Faso,SSA,National,2005,0.567434,0.8083645,0.9353168,0.55534,0.9940015
BFA,Burkina Faso,SSA,National,2008,0.5479828,0.8069434,0.9370302,0.5770387,0.9946987
BFA,Burkina Faso,SSA,National,2010,0.5264781,0.8011152,0.9370432,0.5992145,0.9953068
BFA,Burkina Faso,SSA,National,2011,0.5046414,0.7910379,0.9326734,0.6206697,0.9956375
BFA,Burkina Faso,SSA,National,2012,0.4793311,0.7782209,0.9281653,0.6241725,0.9960754
