CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
BWA,Botswana,SSA,National,2018,HeadCount,EPL,1.9,0.1472884,2.195249,0.1487975,2.308829,0.1666243,0.00150909999999999,0.0193359
BWA,Botswana,SSA,National,2018,HeadCount,LPL,3.2,0.3684931,3.642544,0.3615955,3.981504,0.4059716,-0.0068976,0.0374785
BWA,Botswana,SSA,National,2018,HeadCount,UPL,5.5,0.5931678,6.11676,0.5793403,5.939234,0.5683968,-0.0138275,-0.024771
CAF,Central African Republic,SSA,National,2018,HeadCount,EPL,1.9,0.7164539,2.195249,0.6898759,2.308829,0.7041635,-0.026578,-0.0122903999999999
CAF,Central African Republic,SSA,National,2018,HeadCount,LPL,3.2,0.8643733,3.642544,0.8423547,3.981504,0.8618164,-0.0220186,-0.00255689999999997
CAF,Central African Republic,SSA,National,2018,HeadCount,UPL,5.5,0.9455178,6.11676,0.931645,5.939234,0.9283082,-0.0138728,-0.0172095999999999
CAN,Canada,OHI,National,2018,HeadCount,EPL,1.9,0.002429948,2.195249,0.002470106,2.308829,0.002470106,4.01580000000002e-05,4.01580000000002e-05
CAN,Canada,OHI,National,2018,HeadCount,LPL,3.2,0.004964854,3.642544,0.004973831,3.981504,0.004973831,8.97699999999942e-06,8.97699999999942e-06
CAN,Canada,OHI,National,2018,HeadCount,UPL,5.5,0.00739849,6.11676,0.007449991,5.939234,0.007449991,5.15010000000007e-05,5.15010000000007e-05
CHE,Switzerland,OHI,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308829,0,0,0
CHE,Switzerland,OHI,National,2018,HeadCount,LPL,3.2,0.0002182594,3.642544,0.0002182594,3.981504,0.0002182594,0,0
CHE,Switzerland,OHI,National,2018,HeadCount,UPL,5.5,0.0006367268,6.11676,0.0006367268,5.939234,0.0006367268,0,0
CHL,Chile,LAC,National,2018,HeadCount,EPL,1.9,0.002768941,2.195249,0.003283746,2.308829,0.003393736,0.000514805,0.000624795
CHL,Chile,LAC,National,2018,HeadCount,LPL,3.2,0.006706816,3.642544,0.00866721,3.981504,0.01120028,0.001960394,0.004493464
CHL,Chile,LAC,National,2018,HeadCount,UPL,5.5,0.03447358,6.11676,0.04333457,5.939234,0.03944477,0.00886099000000001,0.00497119
CHN,China,EAP,National,2018,HeadCount,EPL,1.9,0.002676889,2.195249,0.004873748,2.308829,0.006146402,0.002196859,0.003469513
CHN,China,EAP,National,2018,HeadCount,LPL,3.2,0.02876343,3.642544,0.04759044,3.981504,0.0657312,0.01882701,0.03696777
CHN,China,EAP,National,2018,HeadCount,UPL,5.5,0.1700388,6.11676,0.2117155,5.939234,0.198519,0.0416767,0.0284802
CIV,Cote d'Ivoire,SSA,National,2018,HeadCount,EPL,1.9,0.2149993,2.195249,0.2707417,2.308829,0.2947616,0.0557424,0.0797623
CIV,Cote d'Ivoire,SSA,National,2018,HeadCount,LPL,3.2,0.4944328,3.642544,0.5555516,3.981504,0.6021794,0.0611188,0.1077466
CIV,Cote d'Ivoire,SSA,National,2018,HeadCount,UPL,5.5,0.7635616,6.11676,0.7982606,5.939234,0.7857255,0.034699,0.0221639
CMR,Cameroon,SSA,National,2018,HeadCount,EPL,1.9,0.2130478,2.195249,0.2365888,2.308829,0.2574774,0.023541,0.0444296
CMR,Cameroon,SSA,National,2018,HeadCount,LPL,3.2,0.4165719,3.642544,0.4392655,3.981504,0.4756061,0.0226936,0.0590342
CMR,Cameroon,SSA,National,2018,HeadCount,UPL,5.5,0.6538607,6.11676,0.6688634,5.939234,0.6527224,0.0150027,-0.00113829999999993
COD,"Congo, Democratic Republic of",SSA,National,2018,HeadCount,EPL,1.9,0.7072918,2.195249,0.6757667,2.308829,0.6986378,-0.0315251,-0.00865400000000005
COD,"Congo, Democratic Republic of",SSA,National,2018,HeadCount,LPL,3.2,0.8813536,3.642544,0.8584464,3.981504,0.882637,-0.0229071999999999,0.00128340000000005
COD,"Congo, Democratic Republic of",SSA,National,2018,HeadCount,UPL,5.5,0.9668903,6.11676,0.9553128,5.939234,0.9522378,-0.0115775,-0.0146525
COG,"Congo, Republic of",SSA,National,2018,HeadCount,EPL,1.9,0.4013314,2.195249,0.3701927,2.308829,0.3934347,-0.0311387,-0.00789669999999998
COG,"Congo, Republic of",SSA,National,2018,HeadCount,LPL,3.2,0.6443111,3.642544,0.60693,3.981504,0.6486597,-0.0373811000000001,0.00434859999999992
COG,"Congo, Republic of",SSA,National,2018,HeadCount,UPL,5.5,0.8404075,6.11676,0.808963,5.939234,0.7967848,-0.0314445,-0.0436227
COL,Colombia,LAC,National,2018,HeadCount,EPL,1.9,0.04113336,2.195249,0.05001931,2.308829,0.05556799,0.00888595,0.01443463
COL,Colombia,LAC,National,2018,HeadCount,LPL,3.2,0.1087088,3.642544,0.1289212,3.981504,0.1529528,0.0202124,0.044244
COL,Colombia,LAC,National,2018,HeadCount,UPL,5.5,0.2777425,6.11676,0.3035734,5.939234,0.2912211,0.0258309,0.0134786
COM,Comoros,SSA,National,2018,HeadCount,EPL,1.9,0.1690509,2.195249,0.1786394,2.308829,0.1876668,0.0095885,0.0186159
COM,Comoros,SSA,National,2018,HeadCount,LPL,3.2,0.3587654,3.642544,0.3674431,3.981504,0.4039715,0.00867770000000001,0.0452061
COM,Comoros,SSA,National,2018,HeadCount,UPL,5.5,0.6131424,6.11676,0.6107291,5.939234,0.6026035,-0.00241329999999995,-0.0105389
CPV,Cabo Verde,SSA,National,2018,HeadCount,EPL,1.9,0.02362083,2.195249,0.03411735,2.308829,0.0422349,0.01049652,0.01861407
CPV,Cabo Verde,SSA,National,2018,HeadCount,LPL,3.2,0.12101,3.642544,0.1492934,3.981504,0.1900103,0.0282834,0.0690003
CPV,Cabo Verde,SSA,National,2018,HeadCount,UPL,5.5,0.3556745,6.11676,0.3925508,5.939234,0.3785258,0.0368763,0.0228513
CRI,Costa Rica,LAC,National,2018,HeadCount,EPL,1.9,0.01418491,2.195249,0.01463354,2.308829,0.01609605,0.00044863,0.00191114
CRI,Costa Rica,LAC,National,2018,HeadCount,LPL,3.2,0.03609675,3.642544,0.0365568,3.981504,0.04370245,0.000460050000000004,0.0076057
CRI,Costa Rica,LAC,National,2018,HeadCount,UPL,5.5,0.1091242,6.11676,0.1057285,5.939234,0.1005563,-0.0033957,-0.0085679
CYP,Cyprus,OHI,National,2018,HeadCount,EPL,1.9,0.0003282886,2.195249,0.0003282886,2.308829,0.0003282886,0,0
CYP,Cyprus,OHI,National,2018,HeadCount,LPL,3.2,0.0005130247,3.642544,0.0005130247,3.981504,0.0005130247,0,0
CYP,Cyprus,OHI,National,2018,HeadCount,UPL,5.5,0.0005130247,6.11676,0.0005130247,5.939234,0.0005130247,0,0
CZE,Czech Republic,ECA,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308829,0,0,0
CZE,Czech Republic,ECA,National,2018,HeadCount,LPL,3.2,0.001187588,3.642544,0.001187588,3.981504,0.001187588,0,0
CZE,Czech Republic,ECA,National,2018,HeadCount,UPL,5.5,0.004449393,6.11676,0.003522778,5.939234,0.003522778,-0.000926615,-0.000926615
DEU,Germany,OHI,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308829,0,0,0
DEU,Germany,OHI,National,2018,HeadCount,LPL,3.2,0.002406784,3.642544,0.002406784,3.981504,0.002406784,0,0
DEU,Germany,OHI,National,2018,HeadCount,UPL,5.5,0.004999123,6.11676,0.004999123,5.939234,0.004999123,0,0
DJI,Djibouti,MNA,National,2018,HeadCount,EPL,1.9,0.1653337,2.195249,0.1783007,2.308829,0.1969066,0.012967,0.0315729
DJI,Djibouti,MNA,National,2018,HeadCount,LPL,3.2,0.3877862,3.642544,0.4039139,3.981504,0.4578085,0.0161277,0.0700223
DJI,Djibouti,MNA,National,2018,HeadCount,UPL,5.5,0.6929082,6.11676,0.6986846,5.939234,0.6825789,0.00577640000000002,-0.0103293
DNK,Denmark,OHI,National,2018,HeadCount,EPL,1.9,0.001409052,2.195249,0.001409052,2.308829,0.001409052,0,0
DNK,Denmark,OHI,National,2018,HeadCount,LPL,3.2,0.001710614,3.642544,0.001710614,3.981504,0.001710614,0,0
DNK,Denmark,OHI,National,2018,HeadCount,UPL,5.5,0.00220796,6.11676,0.00220796,5.939234,0.00220796,0,0
DOM,Dominican Republic,LAC,National,2018,HeadCount,EPL,1.9,0.004349852,2.195249,0.008769393,2.308829,0.0109432,0.004419541,0.006593348
DOM,Dominican Republic,LAC,National,2018,HeadCount,LPL,3.2,0.02598212,3.642544,0.04118416,3.981504,0.05478501,0.01520204,0.02880289
DOM,Dominican Republic,LAC,National,2018,HeadCount,UPL,5.5,0.138435,6.11676,0.1718659,5.939234,0.1588933,0.0334309,0.0204583
DZA,Algeria,MNA,National,2018,HeadCount,EPL,1.9,0.003301132,2.195249,0.003493851,2.308829,0.004060235,0.000192719,0.000759103
DZA,Algeria,MNA,National,2018,HeadCount,LPL,3.2,0.02332829,3.642544,0.02386034,3.981504,0.03603818,0.000532049999999999,0.01270989
DZA,Algeria,MNA,National,2018,HeadCount,UPL,5.5,0.2146696,6.11676,0.2029659,5.939234,0.1848912,-0.0117037,-0.0297784
EAP,East Asia & Pacific,Aggregates,Regional,2018,HeadCount,EPL,1.9,0.013210593553053,2.195249,0.0165423345985509,2.308829,0.0201050889485772,0.0033317410454979,0.00689449539552416
EAP,East Asia & Pacific,Aggregates,Regional,2018,HeadCount,LPL,3.2,0.0755678964830475,3.642544,0.0920975080637718,3.981504,0.116865779639218,0.0165296115807243,0.0412978831561704
EAP,East Asia & Pacific,Aggregates,Regional,2018,HeadCount,UPL,5.5,0.254410014303584,6.11676,0.28240162333831,5.939234,0.268748662984895,0.0279916090347255,0.0143386486813108
ECA,Europe & Central Asia,Aggregates,Regional,2018,HeadCount,EPL,1.9,0.0117736031570975,2.195249,0.0280162576676999,2.308829,0.0313677616206377,0.0162426545106024,0.0195941584635402
ECA,Europe & Central Asia,Aggregates,Regional,2018,HeadCount,LPL,3.2,0.0443789869214379,3.642544,0.067002047647125,3.981504,0.0757369338254708,0.0226230607256871,0.0313579469040329
ECA,Europe & Central Asia,Aggregates,Regional,2018,HeadCount,UPL,5.5,0.11984727425107,6.11676,0.135944423079195,5.939234,0.129818207272282,0.0160971488281253,0.00997093302121194
ECU,Ecuador,LAC,National,2018,HeadCount,EPL,1.9,0.03311491,2.195249,0.03575591,2.308829,0.03949938,0.002641,0.00638447
ECU,Ecuador,LAC,National,2018,HeadCount,LPL,3.2,0.09658606,3.642544,0.0969858,3.981504,0.1127654,0.000399739999999996,0.01617934
ECU,Ecuador,LAC,National,2018,HeadCount,UPL,5.5,0.2420329,6.11676,0.237157,5.939234,0.2267928,-0.00487589999999999,-0.0152401
EGY,"Egypt, Arab Republic of",MNA,National,2018,HeadCount,EPL,1.9,0.03247788,2.195249,0.004439661,2.308829,0.00531534,-0.028038219,-0.02716254
